Instance name, X location, Y location, Voltage
_107_, 25.14, 43.52, 5.88103e-05
clkbuf_1_1__f_clk, 25.14, 43.52, 5.88103e-05
hold3, 25.14, 43.52, 5.88103e-05
FILLER_0_13_53, 25.14, 43.52, 5.88103e-05
_072_, 25.14, 38.08, 2.16827e-05
_073_, 25.14, 38.08, 2.16827e-05
hold4, 25.14, 38.08, 2.16827e-05
hold13, 25.14, 38.08, 2.16827e-05
FILLER_0_10_52, 25.14, 38.08, 2.16827e-05
_062_, 25.14, 32.64, 2.86053e-05
_087_, 25.14, 32.64, 2.86053e-05
_102_, 25.14, 32.64, 2.86053e-05
hold8, 25.14, 32.64, 2.86053e-05
_059_, 25.14, 27.2, 3.62982e-05
clkbuf_0_clk, 25.14, 27.2, 3.62982e-05
hold1, 25.14, 27.2, 3.62982e-05
FILLER_0_7_47, 25.14, 27.2, 3.62982e-05
_057_, 25.14, 21.76, 1.82117e-05
_058_, 25.14, 21.76, 1.82117e-05
_075_, 25.14, 21.76, 1.82117e-05
_081_, 25.14, 21.76, 1.82117e-05
_082_, 25.14, 21.76, 1.82117e-05
_083_, 25.14, 21.76, 1.82117e-05
_085_, 25.14, 21.76, 1.82117e-05
FILLER_0_4_51, 25.14, 21.76, 1.82117e-05
_056_, 25.14, 16.32, 4.38245e-05
_109_, 25.14, 16.32, 4.38245e-05
clkbuf_1_0__f_clk, 25.14, 16.32, 4.38245e-05
FILLER_0_3_48, 25.14, 16.32, 4.38245e-05
_049_, 25.14, 10.88, 1.48229e-05
_080_, 25.14, 10.88, 1.48229e-05
_093_, 25.14, 10.88, 1.48229e-05
output5, 25.14, 10.88, 1.48229e-05
FILLER_0_0_52, 25.14, 10.88, 1.48229e-05
PHY_EDGE_ROW_13_Left_27, 5.52, 48.96, 1.38912e-05
PHY_EDGE_ROW_13_Right_13, 44.62, 48.96, 1.56682e-05
FILLER_0_13_79, 44.62, 48.96, 1.56682e-05
hold7, 34.88, 48.96, 1.56681e-05
PHY_EDGE_ROW_11_Left_25, 5.52, 43.52, 6.37762e-05
PHY_EDGE_ROW_12_Left_26, 5.52, 43.52, 6.37762e-05
FILLER_0_12_3, 5.52, 43.52, 6.37762e-05
PHY_EDGE_ROW_11_Right_11, 44.62, 43.52, 6.95709e-05
PHY_EDGE_ROW_12_Right_12, 44.62, 43.52, 6.95709e-05
_051_, 15.33, 43.52, 6.37762e-05
_101_, 15.33, 43.52, 6.37762e-05
FILLER_0_12_29, 15.33, 43.52, 6.37762e-05
_106_, 34.88, 43.52, 6.95709e-05
output13, 34.88, 43.52, 6.95709e-05
hold12, 34.88, 43.52, 6.95709e-05
FILLER_0_13_71, 34.88, 43.52, 6.95709e-05
_068_, 5.52, 38.08, 3.41925e-05
_104_, 5.52, 38.08, 3.41925e-05
PHY_EDGE_ROW_9_Left_23, 5.52, 38.08, 3.41925e-05
PHY_EDGE_ROW_10_Left_24, 5.52, 38.08, 3.41925e-05
FILLER_0_10_10, 5.52, 38.08, 3.41925e-05
PHY_EDGE_ROW_9_Right_9, 44.62, 38.08, 2.31953e-05
PHY_EDGE_ROW_10_Right_10, 44.62, 38.08, 2.31953e-05
output6, 44.62, 38.08, 2.31953e-05
_061_, 15.33, 38.08, 2.93373e-05
_063_, 15.33, 38.08, 2.93373e-05
_064_, 15.33, 38.08, 2.93373e-05
_074_, 15.33, 38.08, 2.93373e-05
hold11, 15.33, 38.08, 2.93373e-05
FILLER_0_9_17, 15.33, 38.08, 2.93373e-05
FILLER_0_11_31, 15.33, 38.08, 2.93373e-05
_050_, 34.88, 38.08, 2.31953e-05
hold9, 34.88, 38.08, 2.31953e-05
FILLER_0_9_60, 34.88, 38.08, 2.31953e-05
FILLER_0_11_73, 34.88, 38.08, 2.31953e-05
_067_, 5.52, 32.64, 4.06837e-05
_105_, 5.52, 32.64, 4.06837e-05
PHY_EDGE_ROW_7_Left_21, 5.52, 32.64, 4.06837e-05
PHY_EDGE_ROW_8_Left_22, 5.52, 32.64, 4.06837e-05
input2, 5.52, 32.64, 4.06837e-05
PHY_EDGE_ROW_7_Right_7, 44.62, 32.64, 3.67145e-05
PHY_EDGE_ROW_8_Right_8, 44.62, 32.64, 3.67145e-05
output7, 44.62, 32.64, 3.67145e-05
FILLER_0_7_75, 44.62, 32.64, 3.67145e-05
_066_, 15.33, 32.64, 3.5485e-05
_069_, 15.33, 32.64, 3.5485e-05
_071_, 15.33, 32.64, 3.5485e-05
FILLER_0_8_29, 15.33, 32.64, 3.5485e-05
_086_, 34.88, 32.64, 3.67144e-05
_088_, 34.88, 32.64, 3.67144e-05
_089_, 34.88, 32.64, 3.67144e-05
_092_, 34.88, 32.64, 3.67144e-05
_111_, 34.88, 32.64, 3.67144e-05
_112_, 34.88, 32.64, 3.67144e-05
_060_, 5.52, 27.2, 4.914e-05
_070_, 5.52, 27.2, 4.914e-05
PHY_EDGE_ROW_5_Left_19, 5.52, 27.2, 4.914e-05
PHY_EDGE_ROW_6_Left_20, 5.52, 27.2, 4.914e-05
input1, 5.52, 27.2, 4.914e-05
output11, 5.52, 27.2, 4.914e-05
PHY_EDGE_ROW_5_Right_5, 44.62, 27.2, 3.62983e-05
PHY_EDGE_ROW_6_Right_6, 44.62, 27.2, 3.62983e-05
output8, 44.62, 27.2, 3.62983e-05
_052_, 15.33, 27.2, 4.76471e-05
_065_, 15.33, 27.2, 4.76471e-05
_076_, 15.33, 27.2, 4.76471e-05
_100_, 15.33, 27.2, 4.76471e-05
_103_, 15.33, 27.2, 4.76471e-05
input3, 15.33, 27.2, 4.76471e-05
FILLER_0_6_25, 15.33, 27.2, 4.76471e-05
FILLER_0_7_22, 15.33, 27.2, 4.76471e-05
_054_, 34.88, 27.2, 3.62983e-05
_084_, 34.88, 27.2, 3.62983e-05
_090_, 34.88, 27.2, 3.62983e-05
_091_, 34.88, 27.2, 3.62983e-05
output10, 34.88, 27.2, 3.62983e-05
FILLER_0_6_65, 34.88, 27.2, 3.62983e-05
FILLER_0_7_67, 34.88, 27.2, 3.62983e-05
_053_, 5.52, 21.76, 2.82068e-05
_098_, 5.52, 21.76, 2.82068e-05
PHY_EDGE_ROW_3_Left_17, 5.52, 21.76, 2.82068e-05
PHY_EDGE_ROW_4_Left_18, 5.52, 21.76, 2.82068e-05
hold2, 5.52, 21.76, 2.82068e-05
PHY_EDGE_ROW_3_Right_3, 44.62, 21.76, 2.6321e-05
PHY_EDGE_ROW_4_Right_4, 44.62, 21.76, 2.6321e-05
FILLER_0_3_15, 15.33, 21.76, 2.32092e-05
FILLER_0_4_19, 15.33, 21.76, 2.32092e-05
FILLER_0_4_29, 15.33, 21.76, 2.32092e-05
_096_, 34.88, 21.76, 2.6321e-05
_097_, 34.88, 21.76, 2.6321e-05
_110_, 34.88, 21.76, 2.6321e-05
_114_, 34.88, 21.76, 2.6321e-05
PHY_EDGE_ROW_1_Left_15, 5.52, 16.32, 4.84281e-05
PHY_EDGE_ROW_2_Left_16, 5.52, 16.32, 4.84281e-05
PHY_EDGE_ROW_1_Right_1, 44.62, 16.32, 4.78794e-05
PHY_EDGE_ROW_2_Right_2, 44.62, 16.32, 4.78794e-05
output9, 44.62, 16.32, 4.78794e-05
FILLER_0_1_78, 44.62, 16.32, 4.78794e-05
FILLER_0_2_75, 44.62, 16.32, 4.78794e-05
_077_, 15.33, 16.32, 4.8428e-05
_078_, 15.33, 16.32, 4.8428e-05
_108_, 15.33, 16.32, 4.8428e-05
hold6, 15.33, 16.32, 4.8428e-05
FILLER_0_2_15, 15.33, 16.32, 4.8428e-05
FILLER_0_3_26, 15.33, 16.32, 4.8428e-05
_055_, 34.88, 16.32, 4.78793e-05
_095_, 34.88, 16.32, 4.78793e-05
_113_, 34.88, 16.32, 4.78793e-05
hold10, 34.88, 16.32, 4.78793e-05
FILLER_0_2_67, 34.88, 16.32, 4.78793e-05
FILLER_0_3_69, 34.88, 16.32, 4.78793e-05
_099_, 5.52, 10.88, 2.7843e-05
PHY_EDGE_ROW_0_Left_14, 5.52, 10.88, 2.7843e-05
FILLER_0_1_3, 5.52, 10.88, 2.7843e-05
PHY_EDGE_ROW_0_Right_0, 44.62, 10.88, 1.4823e-05
FILLER_0_0_75, 44.62, 10.88, 1.4823e-05
_079_, 15.33, 10.88, 2.24855e-05
output4, 15.33, 10.88, 2.24855e-05
output12, 15.33, 10.88, 2.24855e-05
hold5, 15.33, 10.88, 2.24855e-05
_094_, 34.88, 10.88, 1.48229e-05

