,gain_dc_-40,gain_dc_-20,gain_dc_0,gain_dc_20,gain_dc_40,gain_dc_80,gain_dc_125,name,type,time,OK
0,44.17216,44.73784,44.95461,44.98684,44.9315,44.76621,44.65875,bode_SchGtKfsTlVh,Sch,Thu Feb 22 21:35:42 2024,False
1,41.64857,47.784,49.52893,50.18805,50.44251,50.40738,49.94631,bode_SchGtKsfTlVh,Sch,Thu Feb 22 21:35:42 2024,False
2,46.90725,46.53785,46.14512,45.76372,45.41681,44.88062,44.52238,bode_SchGtKffTlVh,Sch,Thu Feb 22 21:35:42 2024,False
3,35.60941,37.59923,38.87931,39.82202,40.5527,41.61911,42.46039,bode_SchGtKssTlVh,Sch,Thu Feb 22 21:35:42 2024,False
4,44.17216,44.73784,44.95461,44.98684,44.9315,44.76621,44.65875,bode_SchGtKfsThVh,Sch,Thu Feb 22 21:35:42 2024,False
5,41.64857,47.784,49.52893,50.18805,50.44251,50.40738,49.94631,bode_SchGtKsfThVh,Sch,Thu Feb 22 21:35:42 2024,False
6,46.90725,46.53785,46.14512,45.76372,45.41681,44.88062,44.52238,bode_SchGtKffThVh,Sch,Thu Feb 22 21:35:42 2024,False
7,35.60941,37.59923,38.87931,39.82202,40.5527,41.61911,42.46039,bode_SchGtKssThVh,Sch,Thu Feb 22 21:35:42 2024,False
8,44.17216,44.73784,44.95461,44.98684,44.9315,44.76621,44.65875,bode_SchGtKfsTlVl,Sch,Thu Feb 22 21:35:42 2024,False
9,41.64857,47.784,49.52893,50.18805,50.44251,50.40738,49.94631,bode_SchGtKsfTlVl,Sch,Thu Feb 22 21:35:42 2024,False
10,46.90725,46.53785,46.14512,45.76372,45.41681,44.88062,44.52238,bode_SchGtKffTlVl,Sch,Thu Feb 22 21:35:42 2024,False
11,35.60941,37.59923,38.87931,39.82202,40.5527,41.61911,42.46039,bode_SchGtKssTlVl,Sch,Thu Feb 22 21:35:42 2024,False
12,44.17216,44.73784,44.95461,44.98684,44.9315,44.76621,44.65875,bode_SchGtKfsThVl,Sch,Thu Feb 22 21:35:42 2024,False
13,41.64857,47.784,49.52893,50.18805,50.44251,50.40738,49.94631,bode_SchGtKsfThVl,Sch,Thu Feb 22 21:35:42 2024,False
14,46.90725,46.53785,46.14512,45.76372,45.41681,44.88062,44.52238,bode_SchGtKffThVl,Sch,Thu Feb 22 21:35:42 2024,False
15,35.60941,37.59923,38.87931,39.82202,40.5527,41.61911,42.46039,bode_SchGtKssThVl,Sch,Thu Feb 22 21:35:42 2024,False
